#,Domain,Address,Type,Date
1,blog.openai.com,d2b532lzynlqb7.cloudfront.net.,CNAME,2022-11-20
2,openai.com,104.97.85.132,A,2022-11-19
3,openai.com,104.97.85.146,A,2022-11-19
4,staging.generations.openai.com,52.154.51.122,A,2022-11-18
5,prod.contest.openai.com,13.72.108.248,A,2022-11-18
6,onboard.api.openai.com,52.152.96.252,A,2022-11-15
7,onboard.openai.com,onboard.api.openai.com.,CNAME,2022-11-15
8,openai.com,92.122.94.59,A,2022-11-15
9,openai.com,92.122.94.48,A,2022-11-15
10,microscope.openai.com,openai-microscope-azure.azureedge.net.,CNAME,2022-11-14
11,jukebox.openai.com,openaijukebox.azureedge.net.,CNAME,2022-11-14
12,debate-game.openai.com,151.101.1.195,A,2022-11-13
13,debate-game.openai.com,151.101.65.195,A,2022-11-13
14,musenet-pg.openai.com,40.119.57.198,A,2022-11-13
15,contest.openai.com,108.139.1.84,A,2022-11-13
16,contest.openai.com,108.139.1.50,A,2022-11-13
17,contest.openai.com,108.139.1.74,A,2022-11-13
18,contest.openai.com,108.139.1.69,A,2022-11-13
19,gym.openai.com,d16xyoqlnt006r.cloudfront.net.,CNAME,2022-11-13
20,cdn.openai.com,openaiassets.azureedge.net.,CNAME,2022-11-13
21,www.openai.com,wwwopenaicom.azureedge.net.,CNAME,2022-11-11
22,microscope-azure-edge.openai.com,openai-microscope-azure.azureedge.net.,CNAME,2022-11-09
23,status.openai.com,jbxzcdv9xc4d.stspg-customer.com.,CNAME,2022-11-09
24,beta.openai.com,beta.api.openai.com.,CNAME,2022-11-08
25,beta.api.openai.com,52.152.96.252,A,2022-11-08
26,arena.openai.com,arena-frontend.rapid.openai.org.,CNAME,2022-11-07
27,glow.openai.com,40.119.37.73,A,2022-11-07
28,www.openai.com,openai.com,CNAME,2021-11-15
29,openai.com,54.230.19.39,A,2021-11-15
30,openai.com,54.230.19.85,A,2021-11-15
31,openai.com,54.230.19.102,A,2021-11-15
32,openai.com,54.230.19.110,A,2021-11-15
33,www.openai.com,openai.com.,CNAME,2021-11-06
34,universe.openai.com,d26hvxvpx4lz3l.cloudfront.net.,CNAME,2021-11-06
35,prod-primary-aks-westus2-api-a.api.openai.com,40.91.88.182,A,2021-11-06
36,prod-primary-aks-scentralus-api-b.api.openai.com,52.152.96.252,A,2021-11-06
37,openai.com,65.8.158.61,A,2021-11-06
38,openai.com,54.230.126.87,A,2021-11-06
39,openai.com,54.230.126.28,A,2021-11-06
40,openai.com,54.230.126.88,A,2021-11-06
41,openai.com,65.8.158.58,A,2021-11-06
